66.249.64.14 bot - "2018-06-15 17:47:26" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/25/22 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.14 bot - "2018-06-15 17:50:20" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/71 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.16 bot - "2018-06-15 17:57:56" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/27/24 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.16 bot - "2018-06-15 18:11:06" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.14 bot - "2018-06-15 18:17:23" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.16 bot - "2018-06-15 18:18:38" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/32/29 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.15 bot - "2018-06-15 18:22:35" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/9/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.15 bot - "2018-06-15 18:23:14" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/24 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.14 bot - "2018-06-15 18:27:11" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/29 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
157.55.39.226 bot - "2018-06-15 18:28:39" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/38/35 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.64.14 bot - "2018-06-15 18:30:53" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/38/35 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.14 bot - "2018-06-15 18:31:18" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/10/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.15 bot - "2018-06-15 18:32:06" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/12 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.15 bot - "2018-06-15 18:40:12" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/50 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
