54.210.173.210 - - "2018-02-21 07:48:41" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/42 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:50:04" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/70 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:50:35" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/6 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:52:05" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/19 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
40.77.167.67 bot - "2018-02-21 07:52:08" http://revistas.ujcm.edu.pe/index.php/rctd/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
54.210.173.210 - - "2018-02-21 07:53:14" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/9 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:54:23" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/40 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:55:43" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/35 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:56:44" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/31 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
66.249.64.95 bot - "2018-02-21 07:57:15" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/41/38 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
54.210.173.210 - - "2018-02-21 07:57:44" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/12 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:58:46" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/10 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:59:50" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/8 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:00:50" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/23 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:01:51" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/27 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:02:51" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/41 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:03:52" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/56 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
66.249.64.93 bot - "2018-02-21 08:04:23" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/40/37 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
54.210.173.210 - - "2018-02-21 08:04:52" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/17 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:05:53" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/13 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:06:53" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/14 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
